food,price,store,date
Shredded Carrots,1.99,Trader Joes,2023-08-03 15:24:25.861247
JELLY BEANS SOUR,2.29,Trader Joes,2023-08-03 15:24:25.861247
Bag of Popcorn,2.79,Trader Joes,2023-08-03 15:24:25.861247
Milk Chocolate Pretzels,3.49,Trader Joes,2023-08-03 15:24:25.861247
Cinnamon Sqaure Cereal,3.49,Trader Joes,2023-08-03 15:24:25.861247
SALMON FILLET SKIN ON,10.09,Trader Joes,2023-08-03 15:24:25.861247
Whole Milk Gallon,3.99,Trader Joes,2023-08-03 15:24:25.861247
Dozen Large Eggs,1.49,Trader Joes,2023-08-03 15:24:25.861247
SLICED WHITE BREAD,2.49,Trader Joes,2023-08-03 15:24:25.861247
CUCUMBERS PERSIAN ORG 1,2.99,Trader Joes,2023-08-03 15:24:25.861247
Shredded Carrots,1.99,Trader Joes,2023-08-03 15:27:44.017759
JELLY BEANS SOUR,2.29,Trader Joes,2023-08-03 15:27:44.017759
Bag of Popcorn,2.79,Trader Joes,2023-08-03 15:27:44.017759
PRETZELS MINT MILK CHOC,3.49,Trader Joes,2023-08-03 15:27:44.017759
Cinnamon Sqaure Cereal,3.49,Trader Joes,2023-08-03 15:27:44.017759
SALMON FILLET SKIN ON,10.09,Trader Joes,2023-08-03 15:27:44.017759
Whole Milk Gallon,3.99,Trader Joes,2023-08-03 15:27:44.017759
ROSE Bees,9.99,Trader Joes,2023-08-03 15:27:44.017759
AOTTIE'S. MICR,4.99,Trader Joes,2023-08-03 15:27:44.017759
Dozen Large Eggs,1.49,Trader Joes,2023-08-03 15:27:44.017759
SLICED WHITE BREAD,2.49,Trader Joes,2023-08-03 15:27:44.017759
CUCUMBERS PERSIAN ORG 1,2.99,Trader Joes,2023-08-03 15:27:44.017759
Shredded Carrots,1.99,Trader Joes,2023-08-03 15:33:50.079344
JELLY BEANS SOUR,2.29,Trader Joes,2023-08-03 15:33:50.079344
Bag of Popcorn,2.79,Trader Joes,2023-08-03 15:33:50.079344
PRETZELS MINT MILK CHOC,3.49,Trader Joes,2023-08-03 15:33:50.079344
Cinnamon Sqaure Cereal,3.49,Trader Joes,2023-08-03 15:33:50.079344
SALMON FILLET SKIN ON,10.09,Trader Joes,2023-08-03 15:33:50.079344
Whole Milk Gallon,3.99,Trader Joes,2023-08-03 15:33:50.079344
ROSE Bees,9.99,Trader Joes,2023-08-03 15:33:50.079344
AOTTIE'S. MICR,4.99,Trader Joes,2023-08-03 15:33:50.079344
Dozen Large Eggs,1.49,Trader Joes,2023-08-03 15:33:50.079344
SLICED WHITE BREAD,2.49,Trader Joes,2023-08-03 15:33:50.079344
CUCUMBERS PERSIAN ORG 1,2.99,Trader Joes,2023-08-03 15:33:50.079344
Sparkling Apple Cider,5.79,Key Food,2023-08-03 15:34:05.669410
RICE SELECT SUSHI,9.79,Key Food,2023-08-03 15:34:05.669410
Shredded Mozerella Cheese,4.99,Key Food,2023-08-03 15:34:05.669410
Shredded Mozerella Cheese,4.99,Key Food,2023-08-03 15:34:05.669410
def,,,2023-08-03 15:40:03.600372
def,,,2023-08-03 15:40:20.354644
def1234,,,2023-08-03 15:40:38.324253
